Local time,open,high,low,close,volume
19.05.2004 00:00:00.000 GMT+0300,114.332,114.333,112.435,113.133,615751.9063
20.05.2004 00:00:00.000 GMT+0300,113.09,113.885,112.719,112.794,610152.9912
21.05.2004 00:00:00.000 GMT+0300,112.768,113.058,111.752,112.335,616487.5967
24.05.2004 00:00:00.000 GMT+0300,112.305,112.967,112.029,112.94,615840.501
25.05.2004 00:00:00.000 GMT+0300,112.96,113.323,111.632,111.747,610518.7013
26.05.2004 00:00:00.000 GMT+0300,111.714,111.985,111.23,111.937,605766.6016
27.05.2004 00:00:00.000 GMT+0300,111.928,112.128,110.689,110.862,610379.2081
28.05.2004 00:00:00.000 GMT+0300,110.865,111.105,110.025,110.23,617486.4962
31.05.2004 00:00:00.000 GMT+0300,110.175,110.23,109.055,109.527,451159.8989
01.06.2004 00:00:00.000 GMT+0300,109.535,110.759,109.217,110.656,610852.2041
02.06.2004 00:00:00.000 GMT+0300,110.668,110.925,109.843,109.917,617846.8946
03.06.2004 00:00:00.000 GMT+0300,109.91,111.536,109.796,110.793,617623.8067
04.06.2004 00:00:00.000 GMT+0300,110.8,111.939,110.311,111.178,617357.8916
07.06.2004 00:00:00.000 GMT+0300,110.905,111.03,109.479,109.557,607211.7031
08.06.2004 00:00:00.000 GMT+0300,109.536,110.122,109.479,109.677,617898.5958
09.06.2004 00:00:00.000 GMT+0300,109.64,110.598,108.666,110.448,617482.4032
10.06.2004 00:00:00.000 GMT+0300,110.453,110.533,109.173,109.358,612044.5928
11.06.2004 00:00:00.000 GMT+0300,109.328,110.507,109.164,110.099,615656.8975
14.06.2004 00:00:00.000 GMT+0300,110.202,111.488,110.047,111.056,613661.8947
15.06.2004 00:00:00.000 GMT+0300,111.042,111.397,109.293,109.53,615388.2969
16.06.2004 00:00:00.000 GMT+0300,109.54,110.252,109.223,110.096,611248.4999
17.06.2004 00:00:00.000 GMT+0300,110.098,110.229,108.902,109.651,613571.5966
18.06.2004 00:00:00.000 GMT+0300,109.65,109.748,108.541,108.91,617014.4873
21.06.2004 00:00:00.000 GMT+0300,108.785,108.977,108.228,108.941,613883.2032
22.06.2004 00:00:00.000 GMT+0300,108.968,109.423,108.368,109.31,610932.6952
23.06.2004 00:00:00.000 GMT+0300,109.316,109.316,108.445,108.532,612253.8994
24.06.2004 00:00:00.000 GMT+0300,108.542,108.618,107.005,107.168,620626.1982
25.06.2004 00:00:00.000 GMT+0300,107.172,108.017,107.026,107.596,605456.5977
28.06.2004 00:00:00.000 GMT+0300,107.568,108.327,107.403,107.94,605180.6953
29.06.2004 00:00:00.000 GMT+0300,107.932,108.775,107.761,108.223,610853.6992
30.06.2004 00:00:00.000 GMT+0300,108.24,109.609,108.186,108.764,610967.0879
01.07.2004 00:00:00.000 GMT+0300,108.758,108.904,107.828,108.402,605711.6982
02.07.2004 00:00:00.000 GMT+0300,108.436,109.342,108.042,108.325,612374.0986
05.07.2004 00:00:00.000 GMT+0300,108.348,109.185,108.221,109.084,606915.9053
06.07.2004 00:00:00.000 GMT+0300,109.116,109.723,108.873,109.51,608270.2959
07.07.2004 00:00:00.000 GMT+0300,109.51,109.553,108.198,108.663,609976.0099
08.07.2004 00:00:00.000 GMT+0300,108.652,109.165,108.382,109.003,610631.8018
09.07.2004 00:00:00.000 GMT+0300,109.027,109.027,107.94,108.204,608146.0049
12.07.2004 00:00:00.000 GMT+0300,108.162,108.435,107.564,108.282,615235.1992
13.07.2004 00:00:00.000 GMT+0300,108.28,109.406,108.182,108.673,609179.0009
14.07.2004 00:00:00.000 GMT+0300,108.667,109.48,108.392,109.18,613949.5987
15.07.2004 00:00:00.000 GMT+0300,109.182,110.007,109.01,109.817,604386.1064
16.07.2004 00:00:00.000 GMT+0300,109.803,110.05,108.573,108.704,616806.506
