Gmt time,Open,High,Low,Close,Volume
02.03.2021 00:00:00.000,108.818,108.878,108.577,108.598,198.0635
03.03.2021 00:00:00.000,108.438,108.557,108.257,108.348,273.2815
04.03.2021 00:00:00.000,108.347,108.637,107.547,107.878,778.23
05.03.2021 00:00:00.000,108.028,108.307,107.577,108.188,749.5417
08.03.2021 00:00:00.000,108.067,108.197,107.387,107.418,348.9775
09.03.2021 00:00:00.000,107.618,107.968,107.478,107.548,113.944
10.03.2021 00:00:00.000,107.567,108.048,107.567,107.867,211.02
11.03.2021 00:00:00.000,108.217,108.498,108.158,108.228,111.2462
12.03.2021 00:00:00.000,108.078,108.117,107.877,107.997,115.2477
15.03.2021 00:00:00.000,107.898,108.058,107.797,108.008,77.4133
16.03.2021 00:00:00.000,107.917,107.988,107.657,107.707,112.6107
17.03.2021 00:00:00.000,107.507,108.198,107.447,107.847,247.7473
18.03.2021 00:00:00.000,107.418,107.528,106.977,107.038,245.9345
19.03.2021 00:00:00.000,107.118,107.578,106.917,107.498,233.8215
22.03.2021 00:00:00.000,107.628,107.988,107.577,107.848,117.9435
23.03.2021 00:00:00.000,107.797,107.958,107.677,107.918,169.7337
24.03.2021 00:00:00.000,107.888,108.378,107.888,108.038,159.8355
25.03.2021 00:00:00.000,107.867,108.148,107.817,108.117,297.8863
26.03.2021 00:00:00.000,108.258,108.508,108.047,108.478,140.49
29.03.2021 00:00:00.000,108.318,108.628,108.257,108.587,173.967
30.03.2021 00:00:00.000,108.428,108.478,108.327,108.377,70.6298
31.03.2021 00:00:00.000,108.278,108.828,108.268,108.777,61.6118
01.04.2021 00:00:00.000,108.507,108.668,108.347,108.617,64.7253
05.04.2021 00:00:00.000,108.617,108.808,108.607,108.727,59.2062
06.04.2021 00:00:00.000,108.658,108.978,108.567,108.917,64.0117
07.04.2021 00:00:00.000,108.878,109.007,108.817,108.917,58.5723
08.04.2021 00:00:00.000,108.977,109.068,108.917,108.947,41.027
