"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"104","2024-02-12 08:16:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07832","","1.07980","","","","","","","","",""
"105","2024-02-12 08:16:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07896","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.73"
"106","2024-02-12 08:16:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07980","","","","","","","","","","","","","","",""
"107","2024-02-12 08:16:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07832","","","","","","","","","","","","","","",""
"108","2024-02-12 08:16:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"109","2024-02-12 08:24:28 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07828","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-2.04000","","250.69"
"110","2024-02-12 08:24:28 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"111","2024-02-12 10:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07820","","1.07686","","","","","","","","",""
"112","2024-02-12 10:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07744","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","250.69"
"113","2024-02-12 10:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07686","","","","","","","","","","","","","","",""
"114","2024-02-12 10:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07820","","","","","","","","","","","","","","",""
"115","2024-02-12 10:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"116","2024-02-12 11:33:32 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07686","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","1.74000","","252.43"
"117","2024-02-12 11:33:32 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
